bulan_tahun,jumlah_kunjungan_per_bulan
2024-01,2902
2024-02,2479
2024-03,2527
2024-04,2246
2024-05,2778
2024-06,2349
2024-07,2693
2024-08,2459
2024-09,2349
2024-10,2531
2024-11,2453
2024-12,716
